Category,Blog Rank,Blog Name,Blog Link,Common Hashtags,Username,Top User Tag,User Page Link,Display Name,Status,Date of Birth,Gender,Blood Type,Originally From,Current Location,Occupation
parenting elementary+,1,kosodatefulな毎日 ～オギャ子の暴走～,https://ameblo.jp/chunta-2011/,"['思春期', 'コソダテフル', 'オギャ子さん', 'ウィキッド', 'クラムチャウダー', 'お刺身', '', '', '', '']",chunta-2011,TRUE,https://www.ameba.jp/profile/ameba/chunta-2011/,オギャ子,既婚,,女性,B,大阪府,,
parenting elementary+,2,フタリノキロク＋2,https://ameblo.jp/ourbabydiary/,"['マレーシア', '子連れ海外旅行', 'マレーシア航空', '米騒動', 'ディレイ', '米不足', '遅延', '', '', '']",ourbabydiary,FALSE,https://www.ameba.jp/profile/general/ourbabydiary/,たっぴ(・∀・)ママ,既婚,,女性,B,,,主婦／主夫
parenting elementary+,3,マイペース自閉症アラジンの子育て日記,https://ameblo.jp/arata201257/,"['知的障害', '自閉症スペクトラム', '発達障害', '特別支援学校', '反抗期', 'PR', '', '', '', '']",arata201257,TRUE,https://www.ameba.jp/profile/ameba/arata201257/,momo,,,,,,,
parenting elementary+,4,おもちの育て方〜もちこともちたろ育児日記〜,https://ameblo.jp/omochi-kinako-mochi/,"['アラフォー主婦', '小学生', '女の子ママ', '小学5年生', '小学2年生', '', '', '', '', '']",omochi-kinako-mochi,TRUE,https://www.ameba.jp/profile/ameba/omochi-kinako-mochi/,きなこもち,既婚,,女性,,,,主婦／主夫
parenting elementary+,5,ミニ起業主夫の子育と富裕層への道,https://ameblo.jp/ksichimi/,"['主夫', '起業', 'イクメン', '留学', '在宅ワーク', '社長', '経営者', '', '', '']",ksichimi,FALSE,https://www.ameba.jp/profile/general/ksichimi/,ミニ起業主夫 いちみ,,,男性,,,,
parenting elementary+,6,空回り母ちゃんの日々,https://ameblo.jp/egaogakawaii88/,"['ワーママ', '女の子ママ', '男の子ママ', '今月のお気に入り', 'アラフォー主婦', '', '', '', '', '']",egaogakawaii88,TRUE,https://www.ameba.jp/profile/ameba/egaogakawaii88/,ホリカン ,,,女性,,,,
parenting elementary+,7,じごんすからのぞけば。【育児絵日記】,https://ameblo.jp/unkotetsu/,"['犬のいる生活', '4コマ漫画', 'ラブラドールレトリバー', '小学6年生', '', '', '', '', '', '']",unkotetsu,TRUE,https://www.ameba.jp/profile/ameba/unkotetsu/,中村こてつ,,,女性,,鹿児島県,,
parenting elementary+,8,なんでもいい　,https://ameblo.jp/urashimajiro/,"['不登校', 'MIU404', 'Amebaブログ20周年', 'アンナチュラル', '', '', '', '', '', '']",urashimajiro,TRUE,https://www.ameba.jp/profile/ameba/urashimajiro/,urashima,,,女性,,,,
parenting elementary+,9,可愛いままで子育て,https://ameblo.jp/kumizo610813/,"['小学2年生', 'アラフォー主婦', '小学生', '女の子ママ', 'ADHD', '', '', '', '', '']",kumizo610813,FALSE,https://www.ameba.jp/profile/general/kumizo610813/,Ｋｕｍｉ,,,,,大阪府,大阪府,
parenting elementary+,10,最悪！転じてHappy☆〜自閉症スペクトラム凸凹姉妹の毎日〜,https://ameblo.jp/mammy-boco/,"['副作用', '子供服', 'PR', '喘息', '喘息発作', 'ダイエット', '逃げるが勝ち', '', '', '']",mammy-boco,TRUE,https://www.ameba.jp/profile/ameba/mammy-boco/,タマ  タマヨ,既婚,,女性,,,,その他
parenting elementary+,11,子供6人ステップファミリー♡旦那さんは16歳下♥,https://ameblo.jp/raigon131/,"['ステップファミリー', '年下夫', '義実家', '専業主婦', '経営者', '6人兄弟姉妹', '義父', '']",raigon131,FALSE,https://www.ameba.jp/profile/general/raigon131/,あやコロ,既婚,,女性,,大阪府,,
parenting elementary+,12,はぐれ日和〜毎日迷走中〜,https://ameblo.jp/sirotama3/,"['イラスト', '発達障害', '2歳', '体操教室', '小学3年生', '創作', '', '', '', '']",sirotama3,TRUE,https://www.ameba.jp/profile/ameba/sirotama3/,はぐれ鰯,,,,,,,自営業
parenting elementary+,13,我が家はステップファミリー,https://ameblo.jp/neko--oyaji/,"['ステップファミリー', 'アラフォー主婦', '小学生', 'イラスト', '女の子ママ', '', '', '', '', '']",neko--oyaji,TRUE,https://www.ameba.jp/profile/ameba/neko--oyaji/,ネコおやじ,既婚,,女性,,,,
parenting elementary+,14,自閉症児のかーちゃん日記,https://ameblo.jp/whitemusk1060/,"['ADHD', '自閉症スペクトラム', '特別支援学校', '知的障害', '発達障害', '', '', '', '', '']",whitemusk1060,FALSE,https://www.ameba.jp/profile/general/whitemusk1060/,番犬バロン君,,,女性,,,,
parenting elementary+,15,ひまり家の日常〜中度知的障害自閉症の娘との日常〜,https://ameblo.jp/nonok1015/,"['発達障害', '自閉症スペクトラム', 'キャンプ', '記事デザイン', '中度知的障害', '', '', '', '', '']",nonok1015,FALSE,https://www.ameba.jp/profile/general/nonok1015/,ミミ,,,女性,,,,在宅ワーカー
parenting elementary+,16,【絵日記】ハルコとゆかいな仲間たち,https://ameblo.jp/haruharuko3/,"['子猫', '白猫', '夏休み', '三姉妹', '特訓', '気持ち悪い', 'PR', '主婦', '三女', '']",haruharuko3,TRUE,https://www.ameba.jp/profile/ameba/haruharuko3/,ハルコ,既婚,,女性,,大阪府,東京都,主婦／主夫
parenting elementary+,17,意識の高いママになりたかった,https://ameblo.jp/highmom/,"['小学生', '女の子ママ', '小学4年生', '夏休み', 'アラフィフ女子', '', '', '', '', '']",highmom,TRUE,https://www.ameba.jp/profile/ameba/highmom/,赤井トマト,,,,,,,
parenting elementary+,18,継母ピロコのステップファミリー奮闘録〜ダンナと連れ子と時々元嫁〜　,https://ameblo.jp/mamahahapiroco/,"['思春期', '高校生', '子連れ婚', 'ステップファミリー', '反抗期', '', '', '', '', '']",mamahahapiroco,FALSE,https://www.ameba.jp/profile/general/mamahahapiroco/,継母ピロコ,,,,,,,
parenting elementary+,19,底辺ワーママの子育て日記,https://ameblo.jp/ja020078/,"['お受験', 'ワーママ', '小学校受験', '沖縄旅行', '記事デザイン', '6歳', '私立小学校', '娘', '', '']",ja020078,FALSE,https://www.ameba.jp/profile/general/ja020078/,天現寺,,,,,東京都,東京都,
parenting elementary+,20,れもん家の日常〜いろいろあるさ〜,https://ameblo.jp/mktrrhh/,"['長女', '長男', '仕事', '鬱', '病院', '出勤', '情緒不安定', '親のエゴ', '子供', '履歴書']",mktrrhh,FALSE,https://www.ameba.jp/profile/general/mktrrhh/,れもん(*'ω'*),,,女性,,,,
parenting elementary+,21,高IQギフテッドとの波乱の日常,https://ameblo.jp/sakuranbo0211/,"['思春期', 'コソダテフル', 'オギャ子さん', 'ウィキッド', 'クラムチャウダー', 'お刺身', '', '', '', '']",sakuranbo0211,FALSE,https://www.ameba.jp/profile/general/sakuranbo0211/,さくら,,,,,,,
parenting elementary+,22,Life goes on~長女が布団で寝ません~,https://ameblo.jp/futonpodan/,"['マレーシア', '子連れ海外旅行', 'マレーシア航空', '米騒動', 'ディレイ', '米不足', '遅延', '', '', '']",futonpodan,TRUE,https://www.ameba.jp/profile/ameba/futonpodan/,ポダン,,,女性,,,,
